what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1458711963739
java.specification.vendor,sysinfo,,,"Oracle Corporation",1458711963739
java.specification.version,sysinfo,,,"1.8",1458711963739
java.vendor,sysinfo,,,"Oracle Corporation",1458711963739
java.version,sysinfo,,,"1.8.0_31",1458711963739
java.vm.info,sysinfo,,,"mixed mode",1458711963739
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1458711963739
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1458711963739
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1458711963739
java.vm.specification.version,sysinfo,,,"1.8",1458711963739
java.vm.vendor,sysinfo,,,"Oracle Corporation",1458711963739
java.vm.version,sysinfo,,,"25.31-b07",1458711963739
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1458711963946
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1458711966109
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1458711975197
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1458711980278
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458711984953
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458711985089
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1458711985313
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458711987015
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458711987867
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458711988003
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458711989021
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458711989021
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1458712004532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458712005845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458712008882
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1458712008983
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1458712008985
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1458712008998
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1458712008999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458712009376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458712021824
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1458712025319
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458712059569
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1458712247964
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1458712248020
