127.0.0.1 - - [06/Dec/2016:08:53:36 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:53:40 -0600] "GET /courseapp/home.jsp HTTP/1.1" 200 6157
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:53:40 -0600] "GET /courseapp/css/reset.css HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:53:40 -0600] "GET /courseapp/css/layout.css HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:53:40 -0600] "GET /courseapp/css/style.css HTTP/1.1" 200 19970
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:53:40 -0600] "GET /courseapp/js/cufon-yui.js HTTP/1.1" 200 18258
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:53:40 -0600] "GET /courseapp/js/jquery-1.5.2.js HTTP/1.1" 200 227615
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:53:40 -0600] "GET /courseapp/js/cufon-replace.js HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:53:40 -0600] "GET /courseapp/js/tabs.js HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:53:40 -0600] "GET /courseapp/js/jquery.jqtransform.js HTTP/1.1" 200 14058
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:53:40 -0600] "GET /courseapp/js/jquery.nivo.slider.pack.js HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:53:40 -0600] "GET /courseapp/js/atooltip.jquery.js HTTP/1.1" 200 3594
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:53:40 -0600] "GET /courseapp/js/script.js HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:53:40 -0600] "GET /courseapp/js/Cabin_400.font.js HTTP/1.1" 200 109099
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:53:41 -0600] "GET /courseapp/images/download.jpe HTTP/1.1" 200 42401
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:53:41 -0600] "GET /courseapp/images/menu_line.gif HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:53:41 -0600] "GET /courseapp/images/menu_right.png HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:53:41 -0600] "GET /courseapp/images/menu_left.png HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:53:41 -0600] "GET /courseapp/images/menu_bg.gif HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:54:14 -0600] "POST /courseapp/servicesServlet HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:54:37 -0600] "POST /courseapp/servicesServlet HTTP/1.1" 500 1442
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:55:19 -0600] "GET /courseapp/login.jsp HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:55:19 -0600] "GET /courseapp/images/bg_footer.gif HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:55:28 -0600] "GET /courseapp/register.jsp HTTP/1.1" 200 5369
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:56:08 -0600] "GET /courseapp/home.jsp HTTP/1.1" 200 6157
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:56:20 -0600] "POST /courseapp/servicesServlet HTTP/1.1" 200 3733
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:56:22 -0600] "POST /courseapp/servicesServlet HTTP/1.1" 500 1442
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:56:36 -0600] "GET /courseapp/login.jsp HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [06/Dec/2016:08:59:00 -0600] "GET /courseapp/home.jsp HTTP/1.1" 200 6157
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:05:43 -0600] "GET /courseapp/index.jsp HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:08:27 -0600] "GET /courseapp/managecourses.jsp HTTP/1.1" 200 3938
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:02 -0600] "GET /courseapp/index.jsp HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:02 -0600] "GET /courseapp/css/layout.css HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:02 -0600] "GET /courseapp/css/reset.css HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:02 -0600] "GET /courseapp/css/style.css HTTP/1.1" 200 19970
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:02 -0600] "GET /courseapp/js/cufon-yui.js HTTP/1.1" 200 18258
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:02 -0600] "GET /courseapp/js/jquery-1.5.2.js HTTP/1.1" 200 227615
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:02 -0600] "GET /courseapp/js/cufon-replace.js HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:02 -0600] "GET /courseapp/js/Cabin_400.font.js HTTP/1.1" 200 109099
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:02 -0600] "GET /courseapp/js/tabs.js HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:02 -0600] "GET /courseapp/js/jquery.nivo.slider.pack.js HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:02 -0600] "GET /courseapp/js/jquery.jqtransform.js HTTP/1.1" 200 14058
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:02 -0600] "GET /courseapp/js/atooltip.jquery.js HTTP/1.1" 200 3594
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:02 -0600] "GET /courseapp/js/script.js HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:02 -0600] "GET /courseapp/images/menu_line.gif HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:02 -0600] "GET /courseapp/images/download.jpe HTTP/1.1" 200 42401
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:02 -0600] "GET /courseapp/images/menu_left.png HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:02 -0600] "GET /courseapp/images/menu_right.png HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:02 -0600] "GET /courseapp/images/menu_bg.gif HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:03 -0600] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:06 -0600] "GET /courseapp/login.jsp HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:06 -0600] "GET /courseapp/images/bg_footer.gif HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:10 -0600] "POST /courseapp/loginServlet HTTP/1.1" 200 3396
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:16 -0600] "GET /courseapp/register.jsp HTTP/1.1" 200 5369
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:24 -0600] "GET /courseapp/login.jsp HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:09:59 -0600] "GET /courseapp/home.jsp HTTP/1.1" 200 6157
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:10:04 -0600] "GET /courseapp/home.jsp HTTP/1.1" 200 6157
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:10:08 -0600] "GET /courseapp/home.jsp HTTP/1.1" 200 6157
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:10:16 -0600] "POST /courseapp/servicesServlet HTTP/1.1" 200 3733
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:10:19 -0600] "POST /courseapp/servicesServlet HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:10:35 -0600] "GET /courseapp/servicesServlet HTTP/1.1" 405 1065
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:10:45 -0600] "GET /courseapp/servicesServlet HTTP/1.1" 405 1065
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:10:56 -0600] "GET /courseapp/servicesServlet HTTP/1.1" 405 1065
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:11:10 -0600] "GET /courseapp/home.jsp HTTP/1.1" 200 6157
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:11:13 -0600] "POST /courseapp/servicesServlet HTTP/1.1" 500 1442
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:11:26 -0600] "POST /courseapp/servicesServlet HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:11:28 -0600] "POST /courseapp/servicesServlet HTTP/1.1" 500 1442
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:49:47 -0600] "POST /courseapp/loginServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Dec/2016:09:49:56 -0600] "POST /courseapp/servicesServlet HTTP/1.1" 200 4355
